Date,Open,High,Low,Last,Close,Quantity,Turnover
3/16/2018,2868.8,2872,2805,2828,2825.7,3598741,101999.79
3/15/2018,2895,2902.55,2855.6,2867,2869.7,1174453,33788.1
3/14/2018,2892.95,2923.05,2875.05,2887.85,2886.9,1834334,53188.8
3/13/2018,2924.9,2939.7,2872,2886.1,2886.8,44033577,1268361.56
3/12/2018,3043,3083.9,3035.5,3046.95,3052.15,1045670,32006.69
3/9/2018,3005,3063.2,2977.2,3035,3034.1,936218,28373.81
3/8/2018,3054.9,3054.9,2987.5,3001.85,3003.95,975913,29449.17
3/7/2018,3070,3089,3018.5,3028.7,3027.45,958886,29200.78
3/6/2018,3122,3127,3030.15,3041,3042.8,953382,29434.03
3/5/2018,3049,3113.65,3032.95,3103,3105.85,1429084,43955.23
3/1/2018,3049,3061.2,3020,3033,3037.7,859062,26134.81
2/28/2018,3035,3063.95,3021.45,3033.4,3035.05,1353432,41146.52
2/27/2018,3041,3078.55,3032,3042,3042.35,858900,26234.43
2/26/2018,3075,3089.95,3021.2,3025.6,3031.7,681941,20758.94
2/23/2018,3050,3089,2992.1,3078,3075.8,1681250,51189.36
2/22/2018,3052,3079,3022.5,3040.05,3050.2,1731505,52773.42
2/21/2018,2974,3062.6,2960.05,3042.35,3042.3,1544614,46589.38
2/20/2018,2928,2985.05,2927.9,2943,2944.75,944534,27951.26
2/19/2018,2945,2953.3,2895.2,2923.65,2923.6,784112,22959.55
2/16/2018,2923,2999.6,2923,2931,2933.05,1257878,37302.56
2/15/2018,2931.95,2943,2905.1,2922,2925.85,1232618,36059.54
2/14/2018,2970,2974.45,2892.5,2900,2911.8,1423766,41853.67
2/12/2018,2978.3,3023.35,2955.55,2960.15,2967.3,987281,29434.08
2/9/2018,2950,2994,2896.65,2978.3,2971.7,1051229,30910.37
2/8/2018,2979.75,3027.6,2959,2966.2,2974.2,1377502,41327.16
2/7/2018,3027,3031,2947.45,2959,2955.05,1090162,32435.12
2/6/2018,3010,3077.15,2985,3000,2997.25,1328653,40137.44
2/5/2018,3110,3188,3076.85,3110,3103.2,1378871,43003.56
2/2/2018,3120,3190,3103.45,3153,3153.65,1228245,38901.63
2/1/2018,3124,3190,3088.8,3150,3138.6,1200315,37764.74
1/31/2018,3137,3150,3098.6,3111.15,3112.35,1521607,47461.05
1/30/2018,3180,3203.8,3143.7,3152.15,3152.85,787379,24932.03
1/29/2018,3131.4,3225,3122,3199.25,3198.85,1570530,50196.39
1/25/2018,3175,3179.8,3081,3133,3121.05,1916922,59866.62
1/24/2018,3090,3259.05,3082.65,3174.95,3174.6,2810769,89651.88
1/23/2018,3114.95,3142.35,3090.05,3097.9,3102,1619805,50408.79
1/22/2018,2961,3134.7,2922,3090,3116.4,2183555,66645.66
1/19/2018,2930.55,2982,2903.65,2974.85,2959.3,910000,26670.01
1/18/2018,2897,2933,2868.05,2926.55,2918.2,1104739,31997.12
